104.370.000	5.870.000	46.433.333
103.590.000	5.870.000	45.686.667
102.730.000	5.870.000	44.540.000
101.763.333	5.870.000	43.246.667
100.623.333	5.870.000	42.100.000
99.600.000	5.870.000	41.213.333
98.916.667	5.876.667	40.670.000
98.396.667	5.880.000	40.363.333
98.006.667	5.886.667	40.280.000
97.750.000	5.890.000	40.466.667
98.106.667	5.896.667	41.100.000
99.310.000	5.900.000	42.293.333
101.266.667	5.906.667	44.073.333
103.593.333	5.910.000	45.613.333
105.740.000	5.920.000	46.666.667
107.223.333	5.920.000	47.480.000
108.516.667	5.930.000	48.160.000
109.520.000	5.933.333	48.606.667
109.986.667	5.940.000	48.660.000
109.776.667	5.946.667	48.346.667
108.956.667	5.950.000	47.583.333
107.686.667	5.956.667	46.220.000
106.050.000	5.960.000	44.903.333
104.183.333	5.970.000	44.043.333
102.483.333	5.970.000	43.316.667
100.873.333	5.970.000	42.653.333
99.046.667	5.966.667	41.970.000
98.136.667	5.960.000	42.220.000
98.676.667	5.950.000	43.653.333
99.823.333	5.940.000	44.860.000
101.570.000	5.933.333	46.483.333
103.790.000	5.923.333	48.663.333
105.760.000	5.916.667	49.703.333
107.330.000	5.906.667	50.413.333
108.430.000	5.900.000	51.033.333
109.013.333	5.890.000	51.033.333
108.873.333	5.880.000	50.480.000
107.906.667	5.870.000	49.650.000
105.956.667	5.886.667	48.980.000
104.556.667	5.913.333	49.050.000
104.733.333	5.950.000	50.003.333
104.976.667	5.990.000	50.190.000
104.830.000	6.023.333	49.706.667
104.153.333	6.060.000	49.150.000
103.333.333	6.096.667	48.606.667
102.436.667	6.130.000	48.033.333
101.163.333	6.166.667	47.243.333
100.196.667	6.203.333	46.566.667
99.790.000	6.236.667	46.276.667
99.270.000	6.240.000	46.483.333
99.620.000	6.236.667	47.390.000
101.126.667	6.223.333	48.800.000
102.930.000	6.206.667	50.053.333
104.976.667	6.193.333	51.086.667
106.666.667	6.176.667	51.773.333
107.443.333	6.163.333	51.943.333
107.410.000	6.153.333	51.460.000
107.293.333	6.136.667	51.283.333
107.156.667	6.123.333	51.393.333
106.326.667	6.106.667	50.696.667
105.093.333	6.096.667	49.883.333
103.760.000	6.083.333	49.433.333
102.486.667	6.066.667	48.630.000
101.216.667	6.053.333	47.430.000
99.753.333	6.036.667	46.030.000
98.500.000	6.026.667	45.076.667
97.690.000	6.013.333	44.886.667
96.963.333	5.996.667	44.790.000
96.803.333	5.986.667	45.436.667
97.673.333	5.980.000	47.180.000
99.290.000	5.986.667	48.136.667
101.423.333	5.990.000	49.166.667
103.723.333	5.996.667	50.866.667
105.686.667	6.000.000	51.970.000
107.553.333	6.003.333	52.376.667
109.360.000	6.010.000	52.433.333
110.923.333	6.013.333	52.413.333
111.863.333	6.020.000	51.953.333
112.006.667	6.020.000	51.063.333
111.250.000	6.030.000	49.826.667
109.803.333	6.030.000	48.133.333
107.960.000	6.036.667	46.210.000
106.216.667	6.040.000	44.726.667
104.656.667	6.043.333	43.700.000
103.293.333	6.050.000	43.056.667
101.996.667	6.050.000	42.893.333
101.400.000	6.060.000	43.506.667
102.390.000	6.060.000	45.200.000
104.186.667	6.066.667	47.100.000
106.276.667	6.070.000	48.630.000
108.316.667	6.073.333	49.526.667
110.010.000	6.080.000	50.030.000
111.223.333	6.083.333	50.566.667
112.050.000	6.090.000	51.166.667
112.723.333	6.090.000	51.373.333
112.916.667	6.100.000	51.096.667
112.436.667	6.100.000	50.383.333
111.223.333	6.110.000	49.443.333
109.566.667	6.110.000	48.370.000
107.766.667	6.116.667	47.226.667
105.943.333	6.120.000	45.796.667
104.303.333	6.123.333	44.343.333
103.166.667	6.130.000	43.770.000
102.336.667	6.130.000	43.750.000
101.546.667	6.130.000	43.803.333
100.740.000	6.130.000	43.730.000
100.513.333	6.123.333	44.180.000
101.653.333	6.116.667	46.023.333
103.496.667	6.106.667	48.070.000
105.210.000	6.096.667	49.550.000
106.190.000	6.090.000	50.200.000
106.710.000	6.080.000	50.703.333
107.510.000	6.070.000	51.430.000
108.940.000	6.063.333	52.276.667
